x,y,class
2.932,-3.556,0
5.028,-1.687,0
-2.223,-2.139,0
-3.337,-0.560,0
1.210,-2.094,0
-3.035,-2.560,0
0.649,1.430,0
1.586,-1.860,0
0.307,-2.701,0
-1.979,2.103,0
-3.678,-0.443,0
0.001,-2.827,0
1.115,-0.061,0
1.725,-3.365,0
3.441,2.943,0
6.210,-1.788,0
2.747,-2.848,0
0.950,-3.207,0
7.674,-3.535,0
1.334,0.299,0
0.504,-2.792,0
-1.035,-5.256,0
-0.376,-1.042,0
3.071,-7.160,0
1.874,-0.611,0
-2.868,4.536,0
-1.813,1.613,0
-3.874,4.483,0
0.042,-0.173,0
-1.927,1.854,0
3.292,-2.778,0
0.296,-0.660,0
-1.322,-0.633,0
1.079,-3.497,0
1.752,-0.938,0
1.693,3.696,0
0.977,2.606,0
-1.305,-1.950,0
-2.129,2.339,0
4.618,1.988,0
5.602,-0.245,0
1.473,-1.115,0
-4.734,-2.976,0
-1.640,-0.562,0
1.200,-2.227,0
2.657,2.297,0
0.834,-4.130,0
1.016,2.478,0
1.050,0.247,0
1.619,1.237,0
1.745,2.168,0
4.022,-0.612,0
1.965,-1.923,0
5.449,-0.358,0
0.750,-2.107,0
2.377,-3.072,0
-2.133,-7.186,0
-1.652,-3.102,0
-0.522,0.934,0
2.174,-5.481,0
2.611,-2.072,0
-1.136,0.072,0
-0.702,-7.147,0
0.054,3.274,0
-0.943,-2.393,0
1.560,-1.351,0
6.385,-2.397,0
1.597,-1.644,0
-2.589,-3.269,0
0.906,-1.330,0
5.108,-0.875,0
2.915,-0.856,0
0.398,0.225,0
4.368,-1.891,0
1.056,-0.173,0
2.734,-2.990,0
-0.255,3.157,0
-2.901,1.623,0
1.199,2.105,0
4.328,-5.062,0
0.039,-2.445,0
-4.155,1.034,0
5.201,-1.702,0
0.236,-2.476,0
-2.683,-1.954,0
3.087,-0.521,0
1.987,-1.646,0
4.959,-2.836,0
0.519,-3.080,0
-4.712,-1.024,0
1.535,1.494,0
1.277,-2.742,0
-1.698,-4.383,0
-0.312,1.956,0
2.475,-3.817,0
-1.888,-3.830,0
2.420,-3.406,0
-0.431,-1.676,0
3.022,0.190,0
-0.187,-0.581,0
2.127,-3.146,0
0.690,-0.590,0
4.160,-0.510,0
1.572,-1.267,0
-2.156,0.208,0
-3.962,-1.215,0
0.882,-1.914,0
-3.794,-5.762,0
0.676,-2.549,0
0.963,-0.816,0
2.701,-2.939,0
2.127,-4.739,0
3.316,0.908,0
-2.966,2.329,0
2.893,-2.557,0
2.619,-3.939,0
-1.313,-2.076,0
2.333,1.641,0
0.371,-4.433,0
2.431,-2.427,0
2.316,-6.079,0
1.196,5.080,0
4.917,-1.685,0
3.890,-0.528,0
2.854,0.543,0
1.893,-2.226,0
-4.261,3.164,0
3.271,-3.358,0
1.818,0.403,0
-1.238,-2.540,0
3.634,-0.563,0
-0.942,-6.246,0
3.042,-3.593,0
-0.750,1.075,0
2.015,4.342,0
-1.493,-6.142,0
-1.214,1.809,0
0.895,-1.912,0
0.317,0.712,0
2.811,1.114,0
0.847,-2.758,0
-0.530,-5.320,0
2.062,-2.343,0
-1.425,-5.859,0
-3.826,2.340,0
4.712,-0.227,0
-0.577,1.235,0
-4.586,1.938,0
-0.478,-1.478,0
6.252,-8.029,0
1.032,-2.422,0
4.544,-2.377,0
1.786,-1.403,0
3.168,-3.661,0
-1.179,-0.443,0
4.461,-1.610,0
-0.804,-2.020,0
6.029,-3.258,0
0.508,-1.903,0
3.251,3.926,0
-1.919,-1.887,0
-2.770,-6.125,0
3.533,-1.780,0
0.591,-3.602,0
-2.185,-2.765,0
